datetime,freezing_on
2025-10-26 02:00:00+02:00,0
2025-10-27 18:12:40.227531+01:00,1
2025-10-28 00:32:10.082815+01:00,1
2025-10-28 04:42:32.965259+01:00,1
2025-10-28 14:29:42.209676+01:00,1
2025-10-28 17:52:43.463986+01:00,0
2025-10-28 20:25:04.366009+01:00,1
2025-10-29 11:27:21.513973+01:00,1
2025-10-29 12:21:15.452891+01:00,0
2025-10-29 15:03:02.663909+01:00,1
2025-10-29 20:49:07.038045+01:00,1
2025-10-29 23:30:31.314663+01:00,1
2025-10-30 06:36:33.052271+01:00,1
2025-10-30 06:37:24.088097+01:00,1
2025-10-30 12:04:07.826450+01:00,1
2025-10-30 12:13:52.958882+01:00,1
2025-10-30 12:18:54.685205+01:00,1
2025-10-30 12:33:16.848163+01:00,1
2025-10-30 12:38:41.536645+01:00,1
2025-10-30 12:39:32.156876+01:00,1
2025-10-30 12:46:20.666109+01:00,1
2025-10-30 12:46:53.717988+01:00,1
2025-10-30 12:47:29.485813+01:00,1
2025-10-30 12:48:44.750843+01:00,1
2025-10-30 12:51:22.747880+01:00,1
2025-10-30 12:56:26.659013+01:00,1
2025-10-30 13:03:16.640520+01:00,1
2025-11-01 02:33:34.188128+01:00,1
2025-11-01 06:47:49.789492+01:00,1
